address,area,bedroom_number,description,direction,end_date,floor_number,height,is_car_pack,is_dinning_room,is_kitchen,is_owner,is_terrace,law,price,start_date,street_in_front_of_house,type,width
" Số 6/183 Đường Đình Đông, Phường Đông Hải, Quận Lê Chân, Hải Phòng", 65 m,---,"Bán nhà, đất đẹp tại số 6/183 Đình Đông, Lê Chân, Hải Phòng

- Diện tích đất: 64,6m2
 + Chiều rộng: 4,3m 
 + Chiều dài: 15,1m
- Lô đất rộng rãi, thông thoáng, nằm tại vị trí đẹp, thuận tiện giao thông, sinh hoạt.
- Cách ngã 3 Bốt tròn 30m.
- Đất cách mặt đường Đình Đông 15m.
- Đường trước mặt: 4,3m.
- Thuộc tuyến trung tâm sầm uất nhất thành phố, khu dân trí cao, văn minh lịch sự, an ninh tốt, dân cư đông đúc.
- Gần chợ, trường học các cấp, ủy ban, bệnh viện, nhà hàng, khách sạn, siêu thị...xung quanh đầy đủ tiện ích.
- Phù hợp với nhiều gia đình muốn tìm mua đất để an cư lập nghiệp hoặc cũng là 1 cơ hội tốt để đầu tư sinh lời cao.
- Sổ đỏ: chính chủ.
- Giá: 2,6 tỷ 
- Số điện thoại chính chủ: Mr Kiên: ‭0904313318 
- Nhờ ACE môi giới đăng bài và dẫn khách giúp anh chủ đất.

- Vị trí mảnh đất: (20.8436600, 106.6872008)",_,,---,"15,1m",False,False,False,False,False,Sổ hồng/ Sổ đỏ," 2,6 tỷ ",Ngày đăng: 22/06/2023,"4,3m","Đất thổ cư, đất ở","4,3m"
" Phố Đội cấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội", 38 m,4,"Chính chủ nhờ bán gấp nhà đẹp phố Đội Cấn, Ba Đình. Kinh doanh sầm uất. Dt 38m2 x 6T x MT 3.1m
*Mô tả:
-Nhà nằm vị trí rất đẹp đầu ngõ phố Đội Cấn, khu vực dân trí cao, an ninh cực tốt, gần trường học các cấp, chợ dân sinh, các TTTM lớn như Lotte, Daewoo, Vincom Metropolis...tiện ích ngập tràn không thiếu thứ gì.
-Giao thông thuận tiện đi Lăng Bác, Công Viên Bách Thảo, Bách Thú, dễ dàng di chuyển đi Kim Mã, Cầu Giấy, đi sân bay Nội Bài đều rất thuận tiện.
-Diện tích đất Dt 38m2 x 6T x MT 3.1m, từ T2 là 40m/sàn.
*Thiết kế:
-Nhà được gia đình tự thiết kế và xây dựng 6 tầng khung cột bê tông cực chắc chắn, đầy đủ công năng sử dụng.
-Kết cấu mỗi tầng 1 phòng, tổng 4PN, 4 wc.
-Hiện đang kinh doanh tầng 1 và cho người nước ngoài thuê 4Triệu/1 tầng. Cơ hội tuyệt vời cho NĐT thông minh, vừa ở kết hợp kinh doanh văn phòng, công ty.
-Giá bán: 4.5 tỷ còn thương lượng.
-Sổ đỏ pháp lý chuẩn SSGD. 
Liên hệ xem nhà trước 30 phút.
ZALO em Giang không865601991",_,,6,---,False,False,False,False,False,---," 4,5 tỷ ",Ngày đăng: 22/06/2023,4m,Nhà trong hẻm,---
" Xóm Đống Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội", 40 m,---,"CHÍNH CHỦ CẦN BÁN NHÀ 4 TẦNG TẠI XÓM ĐỐNG, TỨ HIỆP, THANH TRÌ, DT:40M2, GIÁ 3,1TỶ
* Diện tích: 40m2
* Nhà 4 tầng tâm huyết, khung bê tông chắc chắn do chính chủ tự làm, thiết bị điện nước, bếp đầy đủ, cầu thang chuẩn xịn.
* Đường trước nhà rộng rãi, thông ra các tuyến đường lớn của khu vực Tứ Hiệp.
* Tiện ích ngập tràn ( trường mầm non 200m, trường cấp 1 200m, trường cấp 2 300m, chợ 200m, đô thị hồng hà 150m)
* Chủ nhà làm ăn phát đạt chuyển nhà phố nên bán, sổ đỏ chính chủ, sẵn sàng sang tên ngay
* Giá bán 3,1 tỷ (ưu đãi trực tiếp với khách thiện trí, miễn tiếp môi giới)
* Liên hệ chính chủ sđt: 0967.892.111",_,,---,---,False,True,True,True,True,---," 3,1 tỷ ",Ngày đăng: 22/06/2023,---,Nhà mặt tiền,---
" Đường Thụy Phương, Phường Thụy Phương, Quận Bắc Từ Liêm, Hà Nội", 70 m,5,"Chị chủ nhờ bán hộ căn nhà 4 tầng tại khu tập thể Viện Chăn Nuôi, Thụy Phương, Bắc Từ Liêm.
Diện tích 70m² xây 4 tầng.
Mặt tiền 20m.
Lô góc hai mặt thoáng cực đẹp.
Ngõ ô tô vào tận nhà.
Ưu điểm: Nhà có vị trí đẹp nơi dân cư dân trí cao, an ninh tốt, gần đại học Mỏ Địa Chất, bệnh viện đa khoa Phương Đông, gần nhiều trường mầm non, cấp 1,2,3, Cao Đẳng, nơi không gian thoáng đãng, ở Hà Nội có 1 nơi yên bình như khu này là rất hiếm.
Giá bán nhanh : 5,8 tỷ
Liên hệ: Đoàn Long Đại",_,,4,"4,5m",True,True,True,False,True,Sổ hồng/ Sổ đỏ," 5,8 tỷ ",Ngày đăng: 22/06/2023,4m,Nhà trong hẻm,15m
" Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Hồ Chí Minh", 84 m,7,"Bán nhà hẻm 2MT đường Trần Hưng Đạo, phường Cầu Kho, Quận 1.
Vị trí nằm gần đoạn Trần Hưng Đạo cắt Nguyễn Văn Cừ khu vực kinh doanh đông đúc, cách Bùi Viện 200m đường thoáng lớn rộng rãi. Cách chợ Bến Thành chỉ hơn 1km
Diện tích: 6x14m( DTSD), Công nhận 68m2
Kết cấu 1 trệt 3 lầu. 7 căn hộ dịch vụ, 1 mặt bằng
Cho thuê: 65tr.
Giá: 23.5 tỷ.
LH xem nhà chính chủ",_,,3,---,False,False,False,False,False,---," 23,5 tỷ ",Ngày đăng: 22/06/2023,6m,Nhà mặt tiền,---
" Phường Võ Cường, Thành phố Bắc Ninh, Bắc Ninh", 72 m,---,"Bán lô góc thổ cư khu khả lễ phường võ cường tp bắc ninh 
72 m2 mt 5 m giá 2,x tỷ
Đường oto gần trường học mầm non cấp 1,2,3 tiện ích đầy đủ  
Gần bệnh viện đa khoa tỉnh bắc ninh 




Vp bđs thật phát land



Để tư vấn gặp chủ",Tây Bắc,,---,15m,False,False,False,False,False,Sổ hồng/ Sổ đỏ," 2,9 tỷ ",Ngày đăng: 22/06/2023,5m,"Đất thổ cư, đất ở",5m
" Đường Tôn Thất Tùng, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng", 120 m,5,"RẺ NHẤT - DUY NHẤT - ĐẦU TƯ - KINH DOANH - PHÙ HỢP MỌI LOẠI HÌNH.

+ Bán nhà Tôn Thất Tùng 120m2 giá 7.6 tỷ.
+ Mặt phố Tôn Thất Tùng giá thị trường cũng từ 100tr/m2 trở lên.
+ Chỉ duy nhất căn của mình đang bán 66tr/m2 KHÔNG CÓ CĂN THỨ 2.
+ Vị trí gần sân bay, Nguyễn Văn Linh, Lê Đình Lý, Nguyễn Hữu Thọ, Nguyễn Hoàng,...Khu trung tâm sầm uất nhẩt.
+ Khách mua về có thể ở luôn, quán cafe, phòng mạch, trung tâm Tiếng Anh,...Gì cũng rất hợp.
+ Hiện trạng đang cho thuê kinh doanh vui vui dòng tiền cũng 20tr/ tháng.
+ Chủ để sổ ngân hàng cần khách giúp chủ.

Đây là cơ hội mua to nhất để giữ tiền, ra năm có thể lãi ngay vài tỷ. Mong tìm khách thiện chí thực sự và có tầm nhìn.",_,,2,---,False,False,False,False,False,Sổ hồng/ Sổ đỏ," 7,6 tỷ ",Ngày đăng: 22/06/2023,6m,Nhà mặt tiền,---
" Đường Liên Xã, Xã Lâm Động, Huyện Thủy Nguyên, Hải Phòng", 135 m,---,"🔥 Chính chủ gửi bán lô đất trục đường liên xã Lâm Động đường hai ô tô tránh nhau giá chỉ 2,1x tỷ.

✳️ Diện tích 135m2 mặt tiền 5,2m.

✳️ Nằm vị trí trung tâm xã Lâm Động dân cư đông đường trải nhựa rộng thông thoáng cách vị trí trường ,chợ,ủy ban chỉ 200m tiện ích xung quanh đầy đủ không thiếu thứ gì .

✳️ Vị trí tiềm năng nằm cạnh dự án trường ĐH Hàng Hải 2 , giá tại thời điểm này quá hợp lý cho ac đầu tư nhanh tay nắm bắt cơ hội sở hữu BĐS tiềm năng.

📕 Sổ hồng chính chủ.
💰 Giá cực tốt chỉ 2,1x tỷ.

☎️ Lh 0936_942_120 Nguyễn Ngọc chuyên BĐS khu vực Thủy Nguyên.",Bắc,,---,26m,False,False,False,False,False,Sổ hồng/ Sổ đỏ," 2,15 tỷ ",Ngày đăng: 22/06/2023,7m,"Đất thổ cư, đất ở","5,2m"
" Đường Tỉnh lộ 10, Thị trấn Đức Hòa, Huyện Đức Hòa, Long An", 160 m,---,"Diện tích: 10 x 16 = 160m2 tách thành 2 sổ
Xung quanh có tất cả các tiện ích trường học, ngân hàng, siêu thị, bệnh viện,.....
Thích hợp mua đầu tư, xây trọ, kinh doanh, ở
Giá 1tỷ250
LH em Thanh để được hỗ trợ",_,,---,16m,False,False,False,False,False,---," 1,25 tỷ ",Ngày đăng: 22/06/2023,16m,"Đất thổ cư, đất ở",10m
" Phố Giáp Nhị, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội", 30 m,3,"Chính chủ cần bán nhà mới xây tại ngõ 141 Giáp Nhị. Nhà xây mới hoàn toàn, thiết kế hiện đại full nội thất, mua về chỉ việc vào ở. Đơn vị xây dựng uy tín nhất quận Hoàng Mai.
- Diện tích 30m².
- Nhà 5 tầng:
- Tầng 1 phòng khách và bếp được trang bị đẩy đủ vách, tủ bếp, bếp, bồn rửa, nóng lạnh riêng...
- Tầng 2 - 3 - 4 mỗi tầng 1 phòng ngủ vs khép kín, trong đó PN tầng 2 đẩy đủ thiết bị tủ quần áo, giường, bàn trang điểm...
- Tầng 5 là phòng thờ và sân phơi.
- Sẵn đầu chờ thiết bị điện tử, áp riêng từng tầng, nóng lạnh riêng biệt không dùng chung, phòng ngủ được lắp sẵn công tắc đảo chiều.
- Có sân chơi chung cho các hộ gia đình.
- Nhà nằm trong khu dân cư dân trí cao, gần trường chợ, thuận tiện đi lại các phía.

Sổ đỏ chính chủ, sang tên ngay lập tức.
Giá bán: 3,15 tỷ (bao phí sang tên).",_,,5,---,False,True,True,False,True,Sổ hồng/ Sổ đỏ," 3,15 tỷ ",Ngày đăng: 22/06/2023,2m,Nhà trong hẻm,---
" Xã Hoà Đông, Huyện Krông Pắc, Đắk Lắk", 4.100 m,---,"👍 Bán lô đất siêu đẹp, siêu hiếm mặt tiền đường tránh Hồ Chí Minh

Lô đất bằng phẳng, diện tích lý tưởng, mặt đường 36m quy hoạch 150m

Vị trí giáp khu dân cư, gần sân bay, nằm giữa nút giao thông quốc lộ 26 và đường cao tốc Khánh Hoà - Đắc Lắc

Diện tích 60x60m
Pháp lý 400m đất ở

👉 Thích hợp mở cây xăng, kho bãi, nhà máy, phân lô…

Giá sở hữu: 12.5 tỷ
Lh Tuấn 
Tks",Đông Nam,,---,60m,False,False,False,False,False,Sổ hồng/ Sổ đỏ," 12,5 tỷ ",Ngày đăng: 22/06/2023,150m,"Đất thổ cư, đất ở",60m
" Hẻm 1508 Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Hồ Chí Minh", 100 m,4,"🆘🆘 NHÀ GIÁ TỐT NHẤT THỊ TRƯỜNG HIỆN TẠI

NHÀ Hẻm Lớn Ô Tô 1508 LÊ VĂN LƯƠNG - NHÀ BÈ

DT (5X20)1 TRỆT + 2 LẦU + SÂN THƯỢNG TRƯỚC SAU CỰC TIỆN ÍCH

🆘🆘 QUÀ TẶNG: 1Bộ Nội Thất Gồm 1Tivi Sam Sung 55inch,1Tủ Lạnh Sam Sung cỡ lớn,Bộ Lọc Nước,Máy Hút Mùi,Giường Nệm Cao Cấp Cho Khách Thiện Chí.

- SỔ HỒNG RIÊNG ĐÃ HOÀN CÔNG ĐẦY ĐỦ

- NHÀ CÓ 4 PHÒNG NGỦ MASTER và 5 TOILET RIÊNG BIỆT

- BÀN GIAO NHÀ MỚI 100%

- MẶT TIỀN ĐƯỜNG 7m OTO Để Trong Nhà.

- GIÁ 5,4Tỷ Thương Lượng Chính Chủ
- LH Xem Nhà 24/24
Mr.Đăng Em đưa achi đi xem thực tế nhiệt tình và chu đáo ạ.",Tây Nam,,3,20m,True,True,True,False,True,Sổ hồng/ Sổ đỏ," 5,4 tỷ ",Ngày đăng: 22/06/2023,7m,Nhà trong hẻm,5m
" Đường Văn Thánh, Phường Hương Hồ, Thành phố Huế, Huế", 117 m,---,"🆘Đ𝗔̂́𝗧 𝗕𝗔́𝗡 TẠI HƯƠNG HỒ - TP HUẾ 
✨ Hướng nhà Đông Nam là hướng tài lộc, may mắn.. Mang đến cho Gia chủ nhiều cơ hội về công danh sự nghiệp, gia đạo bình an
- Lô 1: Lô 2 mặt tiền thoáng tại kiệt Long Hồ, phường Hương Hồ, Tp Huế
📌Diện tích: 117,7 m² ngang hơn 7m   
📌Đường xá: 5m
📌Hướng : Đông Nam
📌Giá bán: 12.5tr/m2. Bán ngang công chứng 
- Lô 2: Lô 1 mặt đường cạnh bên tại kiệt Long Hồ, phường Hương Hồ, Tp Huế ( chuyển đổi thêm phân được 3 lô ) 
📌Diện tích: 292,4 m² ngang hơn 15m   
📌Đường xá: 5m
📌Hướng : Đông Nam
📌Giá bán:11.5tr/m2 thương lượng. Bán ngang công chứng 
- 2 lô liền kề có thể mua gộp cả 2 với diện tích  410m2 ngang hơn 25m. 
- Đường xá rộng rãi gần sông view sông Hương mát mẻ, gần ủy ban , trường học , chợ .
- Phù hợp cho KH tài chính dưới 1,x tỷ đầu tư Đất nền tại Tp Huế. Khách hàng đang tìm hàng phân lô tại Tp Huế.
------------------------------------------------
CÔNG TY TNHH ĐẦU TƯ BẤT ĐỘNG SẢN TÂM ANH 
          Đầu Tư - An Cư - Phát Triển 
🏠 Chuyên Tư Vấn Đầu Tư
🏠Nhận Mua Bán Ký Gửi
🏠Hổ Trợ Pháp Lý Nhà Đất
🎯Địa chỉ : 280 Văn Thánh, Hương Hồ, TP Huế.",Đông Nam,,---,"16,5m",False,False,False,False,False,Sổ hồng/ Sổ đỏ," 11,5 triệu / m",Ngày đăng: 22/06/2023,5m,"Đất thổ cư, đất ở",7m
" Đường Tân Triều, Xã Tân Triều, Huyện Thanh Trì, Hà Nội", 55 m,13,"BÁN GẤP CCMN CUỐI ĐƯỜNG CHIẾN THẮNG - VQ 55M2*8T THANG MÁY OTO 15M DT600TR/N
 TÔI cần  thanh khoản gấp CCMN cuối đường Chiến Thắng - Văn Quán.
 - DT : 52M2 ( XD 55M2 * 8T 13 Phòng , đang vận hành , đã kín phòng 3.9tr/phòng )
 * Diên tích phòng 25m2 có gác xép như trên ảnh 
 - H  : Đông Nam ( phòng nào cũng có hai cửa sổ ) 
 * Nội Thất :Full đồ , vì là gia đình xây nên toàn bộ là đồ cao cấp , cam kết bảo hành 5 năm.
* Gía : 6,9 tỷ ( có ra lộc chút )
* Vị trí : cuối đường Chiến Thắng , đối diện tổng cục 5 Yên Xá  cách 2 nhà ra Sân Chơi , đường Ô tô tránh , bán kính 100m là trường mầm non,C1,C2 và chợ , tuyến đường mới Xa La Nguyễn Xiễn ,luôn luôn lưu thông thuận tiện.Bán kính 1,5km là trường mật Mã, Bưu chính viễn Thông , Học Viện An Ninh, Đh. Hà Nội , Nhạc Họa Trung ương ... rất gần chợ đầu mối , là khu vực chi phí sinh hoạt thấp nhất Hà Nội nên rất được nhiều Bạn Sinh Viện và người đi làm lựa chọn.
 * Gía : 6,9 tỷ ( rẻ nhất khu vực , có ra lộc bao sang tên )
* Anhr thực tế như trên bài đăng. 
 * XLh CHÍNH CHỦ :  KHÔNG CHÍN BA  NĂM SÁU NĂM , KHÔNG BẢY TÁM CHÍN",Đông Nam,,8,"13,75m",False,False,False,False,False,Sổ hồng/ Sổ đỏ," 6,9 tỷ ",Ngày đăng: 22/06/2023,3m,"Phòng trọ, nhà trọ",4m
" Đường số 13, Phường Bình Trưng Tây, Thành phố Thủ Đức, Hồ Chí Minh", 500 m,3,"Chính chủ bán villa MT đường 13, phường Bình Trưng Tây, quận 2.
Diện tích 500m2 (20x25m). Đường ô tô 8m.
Nhà 1 trệt, 1 lầu và 1 tầng mái. Biệt thự có 3 phòng ngủ, 1 phòng khách. 
Nhà đẹp, nội thất cao cấp, có sân vườn rộng rãi.
Vị trí đắc địa, khu dân cư trí thức, an ninh, sạch sẽ, gần nhiều văn phòng, nhà hàng, khách sạn, siêu thị, chợ, gần khu hành chính nhà nước...
Giá bán 53 tỷ
Liên hệ chính chủ anh Minh - 0903.714.126 

",_,,1,25m,True,True,True,True,False,Sổ hồng/ Sổ đỏ, 53 tỷ ,Ngày đăng: 22/06/2023,8m,"Biệt thự, nhà liền kề",20m
" Đường Trần Văn Giàu, Xã Lê Minh Xuân, Huyện Bình Chánh, Hồ Chí Minh", 105 m,---,"- Chính chủ cần bán nhanh lô đất 210m² trong KDC Trần Văn Giàu, thích hợp xây ở hoặc kinh doanh, thông tin như sau:

- Diện tích 10x21 = 210m² (2 nền 5x21 liền nhau). Đường trước nhà 20m xe tải ra vào thoải mái. Tiện xây kho bãi - xưởng - nhà trọ hoặc mặt bằng kinh doanh.

- Giá bán thu hồi vốn 1 nền 105m² (5x21) - Thanh toán 1 tỷ 600 triệu (bao sang tên công chứng và thuế).

- Đất nằm trong khu đông dân, liền kề cụm KCN hiện hữu ở Bình Tân chuyển về, cách khu hành chính huyện 1km, đường sá thông thoáng nhiều hướng ra vào Khu dân cư, về Q. Bình Tân - Q6 - Tên Lửa - Bến Xe Miền Tây khoảng 15p - 20p.

- Cho xây dựng tự do, không giới hạn thời gian xây, Điện âm nước máy 3 pha có sẵn, xây là đấu nối vào sử dụng ngay. Khu vực cao ráo ít kẹt xe, không ngập úng.

- Sổ hồng riêng đầy đủ, thổ cư 100%, ngân hàng cho vay 50%. Mua là công chứng ngay.

- Liên hệ: 0902*429*488 Ngọc Hậu (Xem đất và sổ trực tiếp).",_,,---,21m,False,False,False,False,False,Sổ hồng/ Sổ đỏ," 1,6 tỷ ",Ngày đăng: 22/06/2023,16m,"Đất thổ cư, đất ở",5m
" Phường Thới Hòa, Thị xã Bến Cát, Bình Dương", 300 m,---,,_,,---,30m,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 3 tỷ ,Ngày đăng: 22/06/2023,16m,"Đất thổ cư, đất ở",10m
" Đường Lê Hồng Phong, Phường 1, Quận 10, Hồ Chí Minh", 50 m,3,,_,,2,---,False,False,False,False,False,---," 3,5 tỷ ",Ngày đăng: 22/06/2023,6m,Nhà mặt tiền,---
" Quốc Lộ 20, Xã Phú Cường, Huyện Định Quán, Đồng Nai", 3.017 m,---,,_,,---,84m,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 680 triệu ,Ngày đăng: 22/06/2023,5m,"Đất thổ cư, đất ở",12m
" Đường Lê Văn Duyệt, Phường 1, Quận Bình Thạnh, Hồ Chí Minh", 52 m,4,"- Diện tích 4.5 x 11.5 . Trệt+2 lầu. Nhà đẹp long lanh như thiên thần.
- Hai mặt hẻm ô tô trước sau thoáng mát, gần trung tâm quận 1. 
- Có dòng tiền cho thuê trên 20tr/tháng, chủ  tặng toàn bộ nội thất giá trị trong nhà
- View Landmark 81 cực sang chảnh, hiếm có
- Giá có thể thương lượng - Liên hệ xem nhà chính chủ",_,,3,"11,5m",False,False,False,False,False,Sổ hồng/ Sổ đỏ," 7,6 tỷ ",Ngày đăng: 22/06/2023,5m,Nhà trong hẻm,"4,5m"
" Đường DT 781B Xã Tân Hưng, Huyện Tân Châu, Tây Ninh", 1.073 m,---,"CHÍNH CHỦ CẦN TIỀN CẮT LỖ LÔ ĐẤT TRUNG TÂM XÃ TÂN HƯNG, HUYỆN TÂN CHÂU, TÂY NINH. GIÁ TỪ 2,2 TỶ CÒN 1,8 TỶ.
+Mặt tiền trước đất 18m đối diện công ty máy đường Thành Thành Công.
+Diện tích:11m x 53m nở hậu.Tổng 1073m2 
+Nằm ngay trung tâm kinh doanh sầm uất, thích hợp mở nhà trọ cho thuê, kinh doanh quán nhậu.
+Bán kính 200m có đầy đủ Ngân Hàng, Chợ, Trường Học 1,2,3, Bách Hóa Xanh,... Kết nối về thành phố đúng 5 phút đi xe.
+Pháp lí: Sổ hồng 2021 công chứng trong ngày.
+Giá: 1,8 tỷ (giá chốt không thương lượng) 
+Quan tâm liên hệ: KHÔNG BA TÁM, CHÍN BỐN CHÍN,TÁM HAI BA BẢY GẶP NGHIÊM.",_,,---,53m,False,False,False,False,False,Sổ hồng/ Sổ đỏ," 1,8 tỷ ",Ngày đăng: 22/06/2023,18m,"Đất thổ cư, đất ở",11m
" Quốc Lộ 13, Xã An Khương, Huyện Hớn Quản, Bình Phước", 1.256 m,---,,_,,---,51m,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 480 triệu ,Ngày đăng: 22/06/2023,22m,"Đất thổ cư, đất ở",26m
" 193/42/38 Đường Số 6, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh", 64 m,3,"Chính chủ cần bán gấp nhà có sổ hồng riêng.
- Diện tích:: 64m2 (4m×16m)
- Hướng: Nam
- Thiết kế nhà 3 tấm, 1 trệt 2 lầu gồm 3 phòng ngủ, 4wc. Nội thất đầy đủ 3 máy lạnh, 3 tivi samsung 43', sân thượng có máy nước nóng năng mặt trời
- Đường xe hơi trước nhà 6m thông thoáng, sạch sẽ, an ninh
- Gần trường học, gần chợ và trung tâm phường, cách siêu thị Aeon khoảng 10p đi xe
- Tiện ích đầy đủ, chỉ cần về ở luôn
- Giá bán: 4.68 tỷ (còn thương lượng)
- Địa chỉ: 193/42/38 Đường Số 6, phường Bình Hưng Hòa B, quận Bình Tân, TP.HCM 
Liên hệ chính chủ gặp chú Quang đt 0903 683 491
",Nam,,2,16m,False,False,False,True,False,---," 4,68 tỷ ",Ngày đăng: 22/06/2023,6m,Nhà trong hẻm,4m
" Đường Đinh Thị Thi, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Hồ Chí Minh", 171 m,1,,_,,1,16m,True,True,True,False,True,Sổ hồng/ Sổ đỏ," 9,8 tỷ ",Ngày đăng: 22/06/2023,20m,Nhà mặt tiền,11m
" Đường Quốc lộ 22B, Xã Thạnh Đức, Huyện Gò Dầu, Tây Ninh", 160 m,---,"Cần thanh lý gấp lô đất 5x32m Tây Ninh, chỉ 310 triệu.
- Diện tích 5x32=160m²
- Sổ hồng riêng công chứng sang tên ngay, xây dựng liền.
- Đường trước đất 6m xe hơi đi vô tư.
- Ra Quốc Lộ 22B chỉ 1km.
- Gần UBND Thạnh Đức, Trường THPT Ngô Gia Tự, Chợ Cẩm An, Chợ Thạnh Đức.
- Ngân hàng BIDV, VPbank hỗ trợ vay 50% ân hạn gốc 2 năm.
- Nằm giữa 2 khu công nghiệp lớn là KCN Thạnh Đức và KCN Hiệp Thạnh tổng khoảng 3.500 HA.
- Đón đầu cao tốc Mộc Bài - Tphcm và cao tốc Gò Dầu - Xa Mát và Gò Dầu lên thị xã 2025.
- Liên hệ để được xem đất và sổ hồng riêng",_,,---,32m,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 310 triệu ,Ngày đăng: 22/06/2023,6m,"Đất nền, liền kề, đất dự án",5m
" 1/ Đường Lê Minh Nhựt, Xã Tân An Hội, Huyện Củ Chi, Hồ Chí Minh", 150 m,1,"Gấp bán nhà cấp 4 150m2 giá 700 triệu

Diện tích 5x30 150m2 thổ cư hết

Kết cấu nhà cấp 4 150m2 : Vừa xây đẹp hiện đại nội thất cơ bản, sẵn sân sau , 1 PK, 1PN, 1WC

Đang cho thuê 3,2 triệu / tháng

Sổ pháp lý đầy đủ công chứng nay

Mặt tiền đường rộng xe oto ra vào dễ dàng, cách chợ trường học Tân An Hội  và đường DT 8 vài trăm mét 

Khu vực an ninh, dân cư sầm uất, tiện ích đầy đủ. Đầu ngõ có sẵn tiệm tạp hóa, thuốc tây

Thích hợp mua ở, đầu tư, lướt đều tốt

Giá 700 triệu ( Thương lượng gia chủ bớt lộc)

Liên hệ Nhân:",_,,1,30m,True,True,True,False,False,Sổ hồng/ Sổ đỏ, 700 triệu ,Ngày đăng: 22/06/2023,5m,Nhà trong hẻm,5m
" Quốc lộ N2, Thị trấn Đức Hòa, Huyện Đức Hòa, Long An", 200 m,---,"🔹  Tên dự án: Hưng Long Residence

🔹  Vị trí: Mặt tiền Quốc lộ N2, thị trấn Hậu Nghĩa, huyện Đức Hoà, tỉnh Long An

🔹  Chủ đầu tư: Công ty TNHH BĐS Mai Phương

🔹  Quy mô dự án: 41.5ha bao gồm hơn 2000 nền đất và nhà phố liền kề

🔹  Mật độ xây dựng: 80,55%

🔹  Sản phẩm: Đất nền dự án, nhà phố thương mại (shophouse), biệt thự

🔹  Hạ tầng: Đường chính rộng từ 16m – 24m, cây xanh, đường nội bộ rải nhựa, điện, nước máy âm, hệ thống PCCC…

🔹  Diện tích nền đa dạng: Từ 5×17m, 5×18m, 6x18m, 5×20m, 7×20m, …

🔹  Pháp lý: Đã hoàn thiện, có sổ hồng riêng từng nền (Công chứng sang tên sau 3 tháng)

🔹  Giá bán trung bình: 450 triệu đồng/nền",_,,---,20m,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 450 triệu ,Ngày đăng: 22/06/2023,12m,"Đất nền, liền kề, đất dự án",10m
" Đường Trương Văn Lực, Phường Hùng Vương, Quận Hồng Bàng, Hải Phòng", 100 m,---,"Hót mặt đường 41m tại hùng vương, Hồng bàng giá chỉ 2,85 tỷ cho 100m2.
Diện tích 100m2. Ngang 5m
Giá 2,85 tỷ 
Hướng tây bắc 
Đường 41m thông với đường 5 mới
Vìa hè 7m ( duy nhất dãy này có vỉa hè rộng)
Sổ đỏ chính chủ
Khách thiện chí liên hệ mr Thứ  chuyên tư vấn bđs tại Hồng Bàng",Tây Bắc,,---,---,False,False,False,False,False,Sổ hồng/ Sổ đỏ," 2,85 tỷ ",Ngày đăng: 22/06/2023,41m,"Đất thổ cư, đất ở",5m
" Đường Nguyễn Văn Yến, Phường Tân Thới Hòa, Quận Tân Phú, Hồ Chí Minh", 200 m,4,"- Nhà xây trong khu đồng bộ cao cấp có cổng từ , an ninh, dân trí cao.
- Đường rộng 8M, oto vào nhà thoải mái.
- Xây dựng 1 trệt 3 lầu với 4pn,5wc, phòng khách, bếp, phòng thờ, giặt sân thượng trước sau đầy đủ.
- Đặc biệt có sân sau 2m, đảm bảo yêu cầu về lối thoát hiểm
- Chỉ việc dọn đồ về ở
- Vay ngân hàng thoải mái từ  đến 5,5 tỷ 6 TỶ
-Giá rẽ nhất khu vực.
- Giá trước tết bán là 9,9 tỷ. khách thiện chí báo giá ok lỗ cũng phải bán vì không gồng nổi nữa.
- Xem nhà gọi Thúy Lài",_,,4,17m,True,True,True,False,True,Sổ hồng/ Sổ đỏ," 7,5 tỷ ",Ngày đăng: 22/06/2023,12m,Nhà mặt tiền,4m
" Đường Tỉnh lộ 822, Xã Tân Mỹ, Huyện Đức Hòa, Long An", 110 m,---,,Tây,,---,21m,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 880 triệu ,Ngày đăng: 22/06/2023,12m,"Đất thổ cư, đất ở",5m
